,gender,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28
1,Male,601,644,697,734,734,751,795,840,918,1005
2,Female,362,385,412,427,427,432,460,477,522,582
